#{"t_start": 1734312558.9648366, "env_id": "LunarLander-v3"}
r,l,t
-233.865719,128,0.725457
-149.509133,115,0.801404
-141.181655,130,0.885774
-177.396452,97,0.947655
-118.861479,81,0.997772
-208.596966,70,1.041337
-178.076798,75,1.088437
-347.724646,84,1.14059
-307.892513,96,1.202042
-300.972413,97,1.265688
-327.479502,95,1.336545
-308.78048,94,1.397374
-68.402496,66,1.438925
-252.642372,114,1.51264
-143.162556,70,1.555681
-140.542927,108,1.625879
-110.010714,71,1.670256
-91.595138,78,1.719207
-236.838232,69,1.764162
-159.922419,80,1.812135
-85.453396,74,1.855576
-298.672453,94,1.914419
-125.74334,87,2.76093
-94.5706,66,2.803675
-283.202964,144,2.896178
-373.032795,128,2.979431
-126.759887,117,3.054898
-322.754096,79,3.103857
-334.587204,96,3.165009
-57.651771,75,3.212593
-265.437948,102,3.275568
-99.241376,77,3.325142
-172.005019,109,3.397707
-51.229953,74,3.446132
-190.840966,141,3.537592
-210.526105,118,3.611104
-335.745097,93,3.670662
-90.010835,68,3.713698
-97.752134,88,3.770213
-87.127825,94,3.830582
-82.882975,58,3.864828
-29.345925,107,3.932657
-95.122609,67,3.973153
-194.440194,161,4.884781
-93.473595,76,4.931608
-110.065791,90,4.990137
-195.361076,102,5.057956
-126.741648,95,5.118255
-21.870561,138,5.212173
-109.334058,98,5.276139
29.139381,141,5.371405
-90.522481,68,5.414642
-382.47376,102,5.494094
-196.158088,91,5.552591
-127.788734,86,5.610004
-90.794399,124,5.687726
-256.071615,146,5.782218
-73.1636,71,5.825074
-400.965833,139,5.913073
-284.531152,105,5.978508
-78.926333,85,6.030138
-154.129244,103,6.095601
-123.210911,72,6.144008
-250.840332,82,6.987267
-158.282176,97,7.048182
-108.825967,94,7.108501
-118.783443,96,7.167958
-129.680544,79,7.217597
-266.325362,103,7.281321
-122.804551,82,7.340449
-189.898101,102,7.405038
-79.931438,76,7.451839
38.202042,75,7.498795
-102.488007,85,7.561642
-95.288171,101,7.625649
