#{"t_start": 1734581809.8197176, "env_id": "LunarLanderTargetPos"}
r,l,t
-100.0,1,0.759878
-100.0,1,0.761256
-100.0,1,0.762393
-100.0,1,0.763433
-100.0,1,0.76441
-100.0,1,0.765422
-207.01094,70,0.810421
-110.152276,77,0.863618
-70.953498,61,0.903102
-262.570337,96,0.968076
-367.778741,79,1.017679
-252.513522,91,1.082715
-204.303462,88,1.138694
-100.0,1,1.140047
-100.0,1,1.141154
-100.0,1,1.142145
-100.0,1,1.14313
-100.0,1,1.144145
-100.0,1,1.145061
-176.949939,65,1.188673
-100.0,1,1.190006
-180.870207,70,1.234355
-100.0,1,1.235533
-287.192858,74,1.284566
-100.0,1,1.285821
-100.0,1,1.28689
-82.10806,47,1.316335
-100.0,1,1.317573
-171.384909,53,1.350831
-100.0,1,1.352097
-275.033651,66,1.396663
-343.536273,68,1.455786
-100.0,1,1.457154
-296.954859,87,1.514885
-174.539842,63,1.555566
-100.0,1,1.556951
-211.544858,68,1.6021
-100.0,1,1.603459
-142.133087,77,1.651445
-100.0,1,1.652657
-100.0,1,1.6537
-100.0,1,1.654699
-104.598205,46,1.684566
-100.0,1,1.685776
-100.0,1,1.686757
-93.011644,59,1.722701
-179.87173,69,1.765035
-100.0,1,1.766249
-172.931988,54,1.800579
-42.066872,75,1.846105
-174.846714,65,1.887524
-100.0,1,1.88884
-100.0,1,1.889899
-123.096724,55,1.922534
-97.591925,53,1.956234
-127.663253,47,1.988122
-180.213152,101,2.053894
-100.0,1,2.055161
-257.404129,71,2.114804
-100.0,1,2.116057
-240.151774,90,3.124877
-330.036273,80,3.174183
-124.401506,70,3.220848
-100.0,1,3.222115
-100.0,1,3.223199
-100.0,1,3.224224
-99.563403,57,3.258682
-100.0,1,3.260062
-217.134128,70,3.303822
-100.0,1,3.305133
-100.0,1,3.306143
-100.0,1,3.307107
-100.0,1,3.308116
-100.0,1,3.30907
-100.0,1,3.310077
-100.0,1,3.311068
-100.0,1,3.312035
-100.0,1,3.313016
-146.215672,54,3.3486
-100.0,1,3.34981
-100.0,1,3.350851
-245.320995,85,3.403677
-345.238202,83,3.458623
-100.0,1,3.459892
-125.233478,88,3.514044
-52.158009,74,3.561972
-100.0,1,3.563214
-97.028727,70,3.604689
-340.909682,80,3.656138
-240.1822,87,3.715917
-100.0,1,3.717188
-100.0,1,3.718241
-113.818795,72,3.765089
-100.0,1,3.766294
-100.0,1,3.767283
-281.999912,75,3.812773
-363.31189,72,3.860755
-365.051348,82,3.913041
-100.0,1,3.914391
-55.814853,65,3.958556
-100.0,1,3.959957
-100.0,1,3.961031
-87.617081,66,4.002988
-100.0,1,4.004211
-91.106298,72,4.051035
-100.0,1,4.052268
-154.892205,77,4.09965
-100.0,1,4.100842
-125.306626,58,4.137868
-195.931083,60,4.176173
-100.0,1,4.177528
-241.771487,104,4.251605
-100.0,1,4.252899
-213.682353,77,4.300671
-210.596844,59,4.336375
-100.0,1,4.33988
-100.0,1,4.340932
-100.0,1,4.341915
-157.495453,56,4.38125
-477.241908,89,5.432153
-100.0,1,5.43363
-100.0,1,5.434688
-100.0,1,5.435677
-234.554131,71,5.482482
-170.686113,63,5.520153
-100.0,1,5.521443
-100.0,1,5.522496
-93.816332,56,5.557387
-117.628234,56,5.595121
-100.0,1,5.596465
-265.103025,67,5.638385
-194.514952,81,5.693279
-62.333652,86,5.749208
-67.16893,64,5.790278
-67.211904,75,5.838784
-148.73662,56,5.873425
-100.0,1,5.877325
-133.806758,91,5.93647
-100.0,1,5.937779
-803.292458,96,6.001607
-100.0,1,6.009915
-100.0,1,6.010984
-100.0,1,6.012044
-107.163529,73,6.058671
-100.0,1,6.059876
-187.722914,83,6.115371
-100.0,1,6.116701
-100.0,1,6.117752
-100.0,1,6.118698
-100.0,1,6.119704
-100.0,1,6.120706
-100.0,1,6.121662
-273.245183,89,6.177489
-100.0,1,6.17877
-142.583059,52,6.212963
-100.0,1,6.214264
-98.951936,72,6.259206
-94.035511,57,6.296711
-230.891417,82,6.34919
-258.46667,86,6.406476
-100.0,1,6.407768
-302.883529,90,6.47111
-121.845599,107,6.545615
-206.131665,85,6.600828
-305.856298,112,6.686217
-56.637344,86,6.74361
-100.0,1,6.744927
-212.739512,74,7.678324
-100.0,1,7.679828
-78.029593,69,7.727213
-112.449102,57,7.764021
-100.0,1,7.765433
-100.0,1,7.76652
-100.0,1,7.767575
-100.0,1,7.768601
-100.0,1,7.769609
-397.255369,126,7.858968
-131.301444,69,7.904837
-100.0,1,7.906097
-100.0,1,7.907161
-194.051278,80,7.961676
-100.0,1,7.963068
-93.199153,77,8.012735
-192.20716,79,8.067117
-100.0,1,8.068541
-87.045392,73,8.116183
-100.0,1,8.117511
-100.0,1,8.118588
-232.225122,78,8.172106
-100.0,1,8.173364
-241.375242,71,8.219464
-37.354019,76,8.280882
-312.093844,123,8.365709
-100.0,1,8.367065
-60.253012,109,8.436454
-100.0,1,8.437717
-38.788863,59,8.475859
-128.387219,72,8.520418
-201.961784,108,8.59372
-207.845952,79,8.64588
-100.0,1,8.647262
-100.0,1,8.64827
-229.77675,93,8.706958
-100.0,1,8.708408
-100.0,1,8.709462
-100.0,1,8.710448
-216.348002,56,8.744715
-100.0,1,8.748403
-100.0,1,8.749612
-100.0,1,8.750681
-100.0,1,8.751813
-100.0,1,8.752791
-100.0,1,8.753766
-329.034816,76,8.802816
-117.411333,58,8.83973
-100.0,1,8.841151
-100.0,1,8.842215
-136.552191,62,8.885388
-254.728294,69,8.938407
-119.660253,69,8.986283
-100.0,1,8.987625
-77.427809,92,9.048347
-238.034461,80,9.96396
-63.097504,98,10.02967
-284.872525,123,10.113624
-287.243986,101,10.182609
-100.0,1,10.183984
-211.394525,86,10.239444
-240.205485,92,10.303076
-100.0,1,10.304484
-100.0,1,10.305586
-100.0,1,10.306575
-245.348896,74,10.353937
-218.950362,83,10.409971
-100.0,1,10.411361
-202.454962,70,10.456079
-100.0,1,10.457352
-100.0,1,10.458471
-100.0,1,10.459514
-100.0,1,10.460555
-216.236661,71,10.514751
-100.0,1,10.515996
-297.637394,89,10.574725
-91.743222,69,10.622244
-100.0,1,10.623483
-426.508124,89,10.681852
-137.534133,80,10.7356
-134.38951,92,10.797354
-82.012809,113,10.873068
-100.0,1,10.874357
-101.164966,104,10.944741
-100.0,1,10.945978
-100.0,1,10.947052
-100.0,1,10.948037
-100.0,1,10.949026
-33.360702,88,11.008089
-334.024504,118,11.088139
