#{"t_start": 1737980080.6667604, "env_id": "LunarLanderTargetPos"}
r,l,t
-147.077024,57,0.740546
-32.684687,66,0.776216
-100.0,1,0.77728
-52.118228,73,0.816856
-100.0,1,0.81792
-196.011237,93,0.867626
-76.514244,69,0.904758
-97.996157,86,0.950968
-100.0,1,0.952043
-118.402779,69,0.988664
-100.0,1,0.989702
-200.457703,66,1.025692
-100.0,1,1.026743
-100.0,1,1.027772
-100.0,1,1.028769
-100.0,1,1.029771
-100.0,1,1.030742
-100.0,1,1.03174
-100.0,1,1.032732
-100.0,1,1.033735
-100.0,1,1.034708
-100.0,1,1.035718
-118.730644,97,1.088955
-131.348393,77,1.131287
-179.112198,80,1.174812
-119.570342,76,1.217063
-100.0,1,1.218146
-188.786357,76,1.259929
-106.19507,79,1.303324
-58.996685,71,1.343042
-100.0,1,1.344092
-231.554239,77,1.385879
-100.0,1,1.386941
-249.459976,97,1.439803
-100.0,1,1.440938
-100.0,1,1.441955
-100.0,1,1.442929
-145.027379,56,1.473703
-96.510189,90,1.522866
-266.047099,85,1.569323
-79.054422,52,1.59801
-125.047931,56,1.629152
-100.0,1,1.630219
-463.016488,69,1.667622
-100.0,1,1.668684
-118.21627,83,1.714018
-90.691639,84,1.760302
-100.0,1,1.761344
-100.0,1,1.762331
-134.927934,73,1.800799
-100.0,1,1.801847
-100.0,1,1.802824
-59.299516,70,2.783906
-169.95586,62,2.818622
-100.0,1,2.819749
-160.782201,72,2.857659
-100.0,1,2.85868
-175.335474,60,2.890427
-100.0,1,2.89148
-100.0,1,2.892464
-100.0,1,2.893445
-100.0,1,2.89439
-67.338648,110,2.952499
-100.0,1,2.953533
-139.443695,63,2.986998
-100.0,1,2.988033
-100.0,1,2.989014
-100.0,1,2.98999
-62.31499,72,3.027987
-30.138479,58,3.058887
-99.687632,68,3.094629
-108.679774,64,3.128799
-120.369886,59,3.160092
-100.0,1,3.161127
-100.0,1,3.162144
-100.0,1,3.163105
-76.266287,62,3.195848
-100.0,1,3.19686
-85.058787,85,3.241944
-75.986405,57,3.272027
-189.220254,59,3.303503
-85.305456,63,3.337186
-100.0,1,3.338265
-106.644702,65,3.372604
-105.799736,68,3.408462
-139.846389,82,3.451821
-92.844099,67,3.487274
-101.985137,58,3.518215
-94.812578,93,3.567008
-100.0,1,3.568054
-92.280756,61,3.600387
-192.815106,69,3.637278
-100.0,1,3.638325
-100.0,1,3.639298
-149.663581,62,3.672203
-153.510634,93,3.721057
-100.0,1,3.722108
-100.0,1,3.723072
-136.020477,79,3.764607
-90.194865,57,3.794612
-60.151366,69,3.831153
-81.7278,65,3.866849
-61.751123,72,4.85979
-100.710457,87,4.905763
-100.0,1,4.906828
-100.0,1,4.90784
-43.576055,94,4.957381
-100.0,1,4.958434
-100.0,1,4.959422
-100.0,1,4.96035
-88.5051,49,4.986355
-85.683794,83,5.030421
-183.07251,75,5.070209
-100.0,1,5.071245
-100.0,1,5.072179
-100.0,1,5.073136
-39.190339,74,5.111796
-100.0,1,5.112805
-170.572404,79,5.154793
-142.643556,95,5.204473
-100.0,1,5.205496
-94.101685,93,5.254192
-106.331209,68,5.289832
-245.390945,93,5.338687
-113.637923,96,5.388533
-100.0,1,5.389585
-195.757149,90,5.436964
-23.858736,83,5.480609
-100.0,1,5.48169
-100.0,1,5.482653
-100.0,1,5.483593
-100.0,1,5.484494
-113.952304,80,5.526569
-90.083783,68,5.562302
-122.43435,71,5.59924
-107.635003,75,5.63883
-54.840715,78,5.679622
-88.451235,80,5.721323
-100.0,1,5.722351
-41.323124,75,5.761742
-100.0,1,5.762772
-100.0,1,5.763697
-100.0,1,5.764646
-100.0,1,5.765577
-100.0,1,5.766522
-97.867968,86,5.811229
-100.0,1,5.812253
